32,{10: [0.0, 0.0, 0.0, 0.0, 0.0], 20: [0.0, 0.0, 0.0, 0.0, 0.0], 30: [0.0, 0.01, 0.0, 0.0, 0.0], 40: [0.0, 0.0, 0.0, 0.0, 0.0], 50: [0.0, 0.01, 0.0, 0.0, 0.0], 60: [0.01, 0.0, 0.02, 0.02, 0.0], 70: [0.02, 0.01, 0.01, 0.02, 0.0], 80: [0.0, 0.01, 0.03, 0.02, 0.02], 90: [0.02, 0.02, 0.0, 0.01, 0.02]}
33,{10: [0.0, 0.0, 0.0, 0.0, 0.0], 20: [0.0, 0.0, 0.0, 0.0, 0.0], 30: [0.0, 0.0, 0.0, 0.0, 0.0], 40: [0.0, 0.0, 0.0, 0.0, 0.0], 50: [0.0, 0.0, 0.0, 0.01, 0.01], 60: [0.01, 0.02, 0.01, 0.01, 0.0], 70: [0.03, 0.02, 0.01, 0.01, 0.0], 80: [0.04, 0.02, 0.02, 0.04, 0.0], 90: [0.02, 0.02, 0.05, 0.06, 0.07]}
34,{10: [0.0, 0.0, 0.0, 0.0, 0.0], 20: [0.0, 0.0, 0.0, 0.0, 0.0], 30: [0.0, 0.0, 0.0, 0.0, 0.0], 40: [0.0, 0.0, 0.0, 0.0, 0.0], 50: [0.0, 0.01, 0.01, 0.01, 0.01], 60: [0.01, 0.01, 0.0, 0.01, 0.0], 70: [0.01, 0.0, 0.0, 0.01, 0.0], 80: [0.0, 0.01, 0.0, 0.01, 0.0], 90: [0.0, 0.01, 0.01, 0.01, 0.01]}
35,{10: [0.0, 0.0, 0.0, 0.0, 0.0], 20: [0.0, 0.0, 0.0, 0.0, 0.0], 30: [0.0, 0.0, 0.0, 0.0, 0.0], 40: [0.0, 0.0, 0.0, 0.0, 0.0], 50: [0.01, 0.0, 0.0, 0.01, 0.01], 60: [0.0, 0.0, 0.0, 0.01, 0.0], 70: [0.01, 0.01, 0.0, 0.0, 0.01], 80: [0.01, 0.01, 0.01, 0.01, 0.01], 90: [0.01, 0.01, 0.01, 0.01, 0.01]}
36,{10: [0.0, 0.0, 0.0, 0.0, 0.0], 20: [0.0, 0.0, 0.0, 0.0, 0.0], 30: [0.0, 0.0, 0.0, 0.01, 0.01], 40: [0.01, 0.0, 0.0, 0.0, 0.01], 50: [0.03, 0.03, 0.01, 0.04, 0.05], 60: [0.09, 0.03, 0.04, 0.06, 0.03], 70: [0.03, 0.03, 0.07, 0.06, 0.03], 80: [0.02, 0.07, 0.06, 0.05, 0.05], 90: [0.05, 0.04, 0.05, 0.06, 0.06]}
37,{10: [0.0, 0.0, 0.0, 0.0, 0.0], 20: [0.0, 0.0, 0.0, 0.0, 0.0], 30: [0.0, 0.0, 0.0, 0.0, 0.0], 40: [0.0, 0.0, 0.0, 0.0, 0.0], 50: [0.0, 0.0, 0.0, 0.0, 0.0], 60: [0.0, 0.0, 0.01, 0.0, 0.01], 70: [0.0, 0.01, 0.0, 0.01, 0.01], 80: [0.01, 0.0, 0.01, 0.01, 0.01], 90: [0.0, 0.01, 0.0, 0.0, 0.01]}
38,{10: [0.0, 0.0, 0.0, 0.0, 0.0], 20: [0.0, 0.0, 0.0, 0.0, 0.0], 30: [0.0, 0.0, 0.0, 0.0, 0.0], 40: [0.0, 0.0, 0.0, 0.02, 0.01], 50: [0.060000000000000005, 0.05, 0.05, 0.05, 0.09], 60: [0.13, 0.07, 0.08, 0.11000000000000001, 0.17], 70: [0.15000000000000002, 0.13, 0.16, 0.15000000000000002, 0.24], 80: [0.16, 0.18, 0.21000000000000002, 0.28, 0.16999999999999998], 90: [0.27, 0.25, 0.27, 0.25, 0.28]}
39,{10: [0.0, 0.0, 0.0, 0.0, 0.0], 20: [0.0, 0.0, 0.0, 0.0, 0.0], 30: [0.0, 0.0, 0.0, 0.0, 0.0], 40: [0.0, 0.02, 0.0, 0.0, 0.03], 50: [0.01, 0.01, 0.04, 0.02, 0.0], 60: [0.08, 0.11, 0.07, 0.08, 0.08], 70: [0.15000000000000002, 0.11000000000000001, 0.09, 0.07, 0.13], 80: [0.1, 0.07, 0.18, 0.15, 0.11], 90: [0.13, 0.21, 0.16, 0.22999999999999998, 0.16]}
40,{10: [0.0, 0.0, 0.0, 0.0, 0.0], 20: [0.0, 0.0, 0.0, 0.0, 0.0], 30: [0.0, 0.0, 0.0, 0.0, 0.0], 40: [0.0, 0.01, 0.0, 0.0, 0.0], 50: [0.01, 0.0, 0.01, 0.01, 0.0], 60: [0.03, 0.0, 0.01, 0.0, 0.03], 70: [0.06, 0.01, 0.01, 0.06, 0.01], 80: [0.04, 0.04, 0.05, 0.04, 0.06], 90: [0.05, 0.06, 0.04, 0.04, 0.02]}
41,{10: [0.0, 0.0, 0.0, 0.0, 0.0], 20: [0.0, 0.0, 0.0, 0.0, 0.0], 30: [0.0, 0.0, 0.0, 0.0, 0.0], 40: [0.0, 0.01, 0.0, 0.0, 0.01], 50: [0.01, 0.04, 0.02, 0.06, 0.03], 60: [0.09, 0.03, 0.05, 0.06, 0.07], 70: [0.1, 0.07, 0.05, 0.14, 0.09], 80: [0.12000000000000001, 0.09, 0.11, 0.08, 0.09], 90: [0.2, 0.15000000000000002, 0.13, 0.1, 0.14]}
42,{10: [0.0, 0.0, 0.0, 0.0, 0.0], 20: [0.0, 0.0, 0.0, 0.0, 0.0], 30: [0.0, 0.0, 0.0, 0.0, 0.0], 40: [0.0, 0.0, 0.0, 0.0, 0.0], 50: [0.01, 0.02, 0.0, 0.0, 0.0], 60: [0.01, 0.01, 0.0, 0.0, 0.01], 70: [0.01, 0.02, 0.01, 0.02, 0.01], 80: [0.0, 0.02, 0.02, 0.01, 0.02], 90: [0.02, 0.04, 0.04, 0.02, 0.02]}
43,{10: [0.0, 0.0, 0.0, 0.0, 0.0], 20: [0.0, 0.0, 0.0, 0.0, 0.0], 30: [0.01, 0.0, 0.0, 0.0, 0.0], 40: [0.0, 0.0, 0.0, 0.0, 0.0], 50: [0.0, 0.0, 0.0, 0.04, 0.03], 60: [0.03, 0.04, 0.02, 0.04, 0.02], 70: [0.01, 0.02, 0.02, 0.01, 0.04], 80: [0.04, 0.05, 0.02, 0.03, 0.02], 90: [0.07, 0.09, 0.09, 0.08, 0.1]}
44,{10: [0.0, 0.0, 0.0, 0.0, 0.0], 20: [0.0, 0.0, 0.0, 0.0, 0.0], 30: [0.0, 0.0, 0.0, 0.0, 0.0], 40: [0.0, 0.0, 0.01, 0.0, 0.0], 50: [0.0, 0.01, 0.02, 0.0, 0.01], 60: [0.0, 0.02, 0.02, 0.0, 0.0], 70: [0.02, 0.01, 0.02, 0.01, 0.01], 80: [0.05, 0.03, 0.03, 0.02, 0.03], 90: [0.04, 0.03, 0.04, 0.01, 0.04]}
